"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: diciembre 2026"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 22/abr/2026 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","08/12/2025","14","2392.9091","4288.1001","2.4912","1607.7294","23005.122","243.556","352.2332","1465.415","757.5226","2784.1644","1541.8418"
"SEN","08/12/2025","15","2222.8349","4299.46","2.1691","1607.2823","22897.5068","224.9786","354.5399","1935.3095","758.333","2987.0048","1544.6665"
"SEN","08/12/2025","16","2353.6757","3766.3037","1.9869","1607.3762","23289.5159","265.6787","373.4407","2334.3883","758.9671","3211.4755","1614.9581"
"SEN","08/12/2025","17","2615.406","2809.6274","1.9946","1607.867","23604.3669","288.8246","376.8569","3209.0459","759.3579","3346.7963","1691.7163"
"SEN","08/12/2025","18","2526.9903","837.4069","2.0905","1610.1348","24503.2315","285.5137","377.5677","4363.6317","759.8248","3540.6067","1715.9698"
"SEN","08/12/2025","19","2864.9348","12.2515","2.1738","1605.8388","24516.2094","282.1437","380.7377","5172.0086","760.2214","3805.6798","1720.2128"
"SEN","08/12/2025","20","3245.2908","5.5911","2.1627","1609.231","24400.5899","269.9182","381.5868","5031.3078","760.5076","3762.0169","1717.1199"
"SEN","08/12/2025","21","3310.1193","4.3825","2.1098","1609.7078","24478.1365","279.5847","381.1826","4388.0022","761.1956","3824.7648","1693.8423"
"SEN","08/12/2025","22","2949.4729","0.0012","1.5415","1554.889","24241.4305","280.0654","381.3946","4166.3512","761.1803","3765.8616","1670.1303"
"SEN","08/12/2025","23","2718.33","0.0009","2.2405","1075.3982","24538.3721","289.6324","381.5582","3754.6803","761.609","3434.243","1549.2438"
"SEN","08/12/2025","24","2606.9345","0.0019","2.2624","1051.6157","24007.1698","244.8275","380.3516","2873.6507","762.3212","3402.8424","1472.4638"
"SEN","09/12/2025","1","2356.9434","0.0018","2.3256","1056.7684","23575.6524","246.9265","379.8636","2378.6","761.7541","3177.6216","1301.1458"
"SEN","09/12/2025","2","2109.8614","0.0014","2.3644","1055.7196","23097.1448","234.9591","375.3459","2019.3394","762.2636","2809.1252","1243.9681"
