"SEN","16/03/2025","22","4231.3059","8.8034","24.6862","1610.0182","21612.577","251.6674","407.8594","2949.8694","1486.7201","2591.9369","1447.9942"
"SEN","16/03/2025","23","4434.985","7.02","20.9359","1608.0123","20761.0871","251.1431","421.4698","2635.1452","1486.8004","2459.6108","1401.0903"
"SEN","16/03/2025","24","4425.6677","6.9742","26.7698","1609.242","19898.0757","242.0391","433.3248","1952.7844","1487.3058","2253.1772","1367.9999"
"SEN","17/03/2025","1","4470.1634","0.2727","26.9023","1579.8358","18961.8654","247.6849","433.4149","1541.6163","1487.2086","2035.7333","1321.2672"
"SEN","17/03/2025","2","4620.122","0","27.4709","1570.6386","17610.1441","238.7895","432.9504","1655.0967","1487.6513","1899.8884","1317.2579"
"SEN","17/03/2025","3","4444.4707","0","28.1081","1578.6535","16899.8219","234.0411","433.903","1733.507","1487.6557","1803.4789","1321.1657"
"SEN","17/03/2025","4","4283.0435","0","26.1784","1580.9893","16446.9076","227.49","434.0247","1731.0901","1487.6251","1805.8761","1321.6371"
"SEN","17/03/2025","5","4188.1839","0","20.0938","1584.0055","16341.4663","232.6185","433.6338","1637.8773","1487.6565","1737.1843","1321.5305"
"SEN","17/03/2025","6","4015.851","0.0002","25.0066","1583.5002","16150.6804","236.2597","433.6876","1868.4549","1487.6286","1635.7749","1330.743"
"SEN","17/03/2025","7","3943.496","8.0354","26.788","1589.7797","16002.6393","232.3001","433.6682","2156.1986","1487.8284","1605.4464","1360.9974"
"SEN","17/03/2025","8","3943.4333","941.1605","18.8931","1592.2868","15522.8836","223.8329","433.6293","1761.5766","1487.516","1610.4481","1364.8503"
"SEN","17/03/2025","9","3716.7409","3996.3182","7.8283","1557.7435","14123.5725","209.4805","433.2581","1045.2968","1487.7374","1607.2628","1355.4192"
"SEN","17/03/2025","10","3883.9165","5054.6996","3.2655","1535.8927","13720.1429","251.5642","430.8165","1079.6324","1486.4013","1686.4353","1346.5653"
"SEN","17/03/2025","11","4033.0536","5593.0953","1.538","1531.2291","13564.3433","191.4637","431.6088","1027.6669","1485.2375","1759.6594","1322.2449"
"SEN","17/03/2025","12","4226.835","5822.0196","1.7564","1457.6017","13614.1779","181.9421","432.2215","1265.1837","1484.1118","1758.1671","1214.0649"
"SEN","17/03/2025","13","4378.276","5942.1085","1.9697","1459.8025","13795.8173","158.2156","430.4649","1272.0597","1482.9181","1759.3707","1208.5658"
"SEN","17/03/2025","14","4251.9763","6050.3112","1.4517","1565.4636","14015.6923","190.643","428.7775","1352.8985","1481.8605","1762.1989","1206.7863"
"SEN","17/03/2025","15","4360.485","5997.9099","4.8536","1578.2365","14166.7323","159.976","428.412","1702.6095","1480.582","1726.2931","1212.1541"
"SEN","17/03/2025","16","4470.4959","5903.8716","14.7209","1557.1523","14813.3864","153.9173","428.4823","1650.6404","1479.5222","1607.7614","1239.9907"
"SEN","17/03/2025","17","4683.4058","5288.6801","26.876","1590.506","15599.0237","154.9926","428.6542","2008.4","1479.3139","1607.4622","1241.8231"
"SEN","17/03/2025","18","4802.616","4063.3481","21.699","1603.0338","17017.2936","173.3812","427.9944","2287.8506","1479.3924","1723.5354","1273.145"
"SEN","17/03/2025","19","4957.1716","1069.2999","27.2967","1600.6018","19573.1834","256.2237","426.5103","2949.9226","1479.6305","1953.6352","1322.5936"
"SEN","17/03/2025","20","4995.1548","42.0806","25.8276","1598.3617","21664.428","248.104","426.618","4071.3228","1479.6897","2026.4048","1345.2424"
"SEN","17/03/2025","21","4915.4276","20.075","26.5323","1596.4038","21781.2017","240.228","431.1437","4260.577","1479.6684","2044.4363","1337.1162"
"SEN","17/03/2025","22","4686.7938","11.8815","25.5422","1595.4642","21536.6755","247.1844","431.2606","4010.4499","1479.6409","2025.2351","1163.2765"
"SEN","17/03/2025","23","4514.1972","7.0403","27.1864","1595.2034","21223.6079","243.4063","429.1853","2937.7379","1479.7052","2034.0425","1061.8256"
"SEN","17/03/2025","24","4451.0871","7.0164","28.7437","1596.6982","20391.9225","244.9183","428.0589","2079.0156","1480.265","1990.8997","1049.6243"
"SEN","18/03/2025","1","4401.4279","0.5403","27.3529","1596.5692","19576.1927","248.39","425.2754","1451.5215","1480.7817","1974.7234","1018.3018"
"SEN","18/03/2025","2","4255.8644","0.0033","25.9533","1595.5329","19012.1646","239.183","424.1217","1226.6615","1481.529","1838.6421","1002.2881"
"SEN","18/03/2025","3","4251.6265","0.0033","27.5816","1588.0479","18671.7051","237.3818","425.0965","1055.8084","1481.9566","1606.8462","1007.6551"
"SEN","18/03/2025","4","4150.3084","0.0028","25.7209","1566.4459","18402.1064","241.066","426.2921","887.5322","1482.8682","1600.6506","1154.6598"
"SEN","18/03/2025","5","4131.2639","0.0038","27.0088","1567.9457","18568.1132","247.1839","426.1421","748.9327","1483.9114","1606.3098","1217.7174"
"SEN","18/03/2025","6","4140.2308","0.0042","26.2082","1578.5053","19119.1332","242.1146","426.8435","971.5259","1484.0951","1826.1452","1237.9542"
"SEN","18/03/2025","7","4143.1442","28.798","26.9561","1597.103","19868.6675","238.0178","427.4146","1734.8928","1484.5229","2057.2787","1260.9765"
"SEN","18/03/2025","8","4094.5458","1219.7409","27.7747","1595.1427","20186.7422","234.0121","430.622","1972.0064","1484.6654","2015.3137","1277.1708"
"SEN","18/03/2025","9","4008.1347","4628.8825","27.4814","1561.9132","18935.6287","234.4504","430.0142","1731.4733","1484.1101","1777.5356","1302.0627"
"SEN","18/03/2025","10","3995.943","5903.1292","29.4013","1555.8861","18814.4239","190.6509","426.2879","1645.6312","1483.6784","1832.8242","1286.0606"
"SEN","18/03/2025","11","4099.4541","6190.5625","30.0831","1556.4312","18954.0807","206.8124","425.6421","1461.3484","1484.4994","2050.1617","1268.4522"
"SEN","18/03/2025","12","4096.2249","6139.5414","29.6722","1559.8851","18914.6086","205.1839","426.2595","1748.1977","1481.4334","2161.4756","1268.959"
"SEN","18/03/2025","13","4108.1916","6057.591","29.2505","1588.7588","19555.6302","176.857","428.776","1756.7466","1480.6924","2165.0502","1276.8203"
"SEN","18/03/2025","14","4328.4132","5993.15","28.7373","1575.7346","19882.9491","268.8225","427.8464","1785.7301","1476.5921","2178.0316","1241.8591"
"SEN","18/03/2025","15","4371.1025","5924.7211","27.3477","1558.2275","20300.4075","203.3738","425.7121","2118.1042","1472.7252","2273.3342","1226.5551"
"SEN","18/03/2025","16","4572.2548","5571.3418","28.4275","1557.5715","20590.5592","194.8249","426.8975","2684.9459","1468.995","2376.2699","1227.3325"
"SEN","18/03/2025","17","4504.9807","5341.3318","25.0242","1590.1868","20689.8437","275.523","425.6532","3213.9493","1466.7347","2536.8132","1323.601"
"SEN","18/03/2025","18","4442.0731","4004.3845","19.5125","1704.1579","21081.2512","282.2841","425.4571","3857.8552","1467.2803","2763.6276","1483.3775"
"SEN","18/03/2025","19","4285.5535","1080.1926","24.5597","2113.1772","22019.3565","259.7419","425.4962","5106.6872","1467.9121","2858.3068","1849.7372"
"SEN","18/03/2025","20","4162.9823","95.3222","28.0749","2120.6436","22722.1422","253.8951","425.8359","6786.3395","1469.6494","2876.1895","2045.019"
"SEN","18/03/2025","21","4038.9238","75.1414","28.9368","2082.3239","23075.1204","252.6625","425.5319","6511.1117","1470.6075","2883.2846","2157.8982"
"SEN","18/03/2025","22","3849.1082","10.075","24.4878","1979.2069","23308.7293","252.9678","429.9079","5539.9179","1472.0998","2846.573","2151.6202"
"SEN","18/03/2025","23","3708.3269","8.0547","27.8686","1877.0258","23413.3257","249.0453","430.6275","4435.319","1473.7585","2826.7018","2084.8158"
"SEN","18/03/2025","24","3677.5202","6.0028","29.0523","1761.8765","23250.1659","239.2437","429.8897","3193.7478","1474.9084","2590.2773","2070.5278"
