"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: diciembre 2025"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/ene/2026 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","06/12/2025","10","545.8692","2785.1464","2.1424","1457.9988","22636.3671","232.1459","358.1099","3214.1852","759.5048","2757.406","1401.5752"
"SEN","06/12/2025","11","455.7473","3253.8029","2.1402","1410.66","22652.9312","238.8799","357.7655","2909.3791","759.6092","2821.2708","1448.7556"
"SEN","06/12/2025","12","463.4385","3522.3981","2.3584","1408.7538","22419.186","234.2328","358.2506","2652.5445","759.9188","3153.5391","1448.7868"
"SEN","06/12/2025","13","530.8855","3695.2245","2.6468","1408.767","22272.8282","230.0725","359.2154","2568.0185","760.3137","3397.4268","1457.2131"
"SEN","06/12/2025","14","547.2356","3539.792","2.6955","1409.0997","22308.6414","236.172","358.9678","2521.4275","760.955","3428.6676","1446.5072"
"SEN","06/12/2025","15","572.3165","3440.0062","2.7683","1445.3703","22588.984","230.6634","359.4964","2181.3994","761.3004","3436.8271","1444.7873"
"SEN","06/12/2025","16","680.8817","3040.3454","2.7785","1476.761","22830.1408","282.6562","359.3889","2280.4017","761.3104","3437.2907","1445.2605"
"SEN","06/12/2025","17","791.7991","2647.5633","2.7727","1441.6327","23208.6104","356.0752","359.1414","2479.3897","761.7068","3461.7413","1604.6181"
"SEN","06/12/2025","18","843.2491","685.8403","2.7645","1435.7564","24294.5052","403.88","359.5175","3345.6576","761.7473","3796.8351","1897.2121"
"SEN","06/12/2025","19","961.5529","21.1683","2.7501","1414.591","24737.0095","408.247","359.5779","4979.7005","761.8646","4004.9503","1867.7751"
"SEN","06/12/2025","20","1028.2273","16.8089","2.708","1412.2686","24482.5054","384.6625","359.8548","4580.641","762.0427","3997.5639","1778.2482"
"SEN","06/12/2025","21","941.5928","16.5059","2.6479","1463.6492","24240.4099","404.6834","360.6563","3886.3609","762.0734","3896.595","2001.1532"
"SEN","06/12/2025","22","959.0348","11.61","2.2681","1478.5266","23966.1034","392.7456","361.279","3634.5195","761.1735","3865.3706","1926.06"
