"SEN","09/05/2025","19","1964.8416","2168.5113","17.6344","1707.6932","28210.8769","493.1451","346.6302","4131.9091","756.908","4179.1015","2649.6666"
"SEN","09/05/2025","20","2737.3325","304.7546","18.7132","1662.663","29010.7842","546.9691","348.5232","4362.7164","757.229","4540.5492","2823.8811"
"SEN","09/05/2025","21","1877.4994","14.5225","19.2643","1707.4432","29243.8989","602.3552","350.9334","4643.8638","757.3777","4735.7867","2811.3389"
"SEN","09/05/2025","22","1545.3668","10.1033","20.7588","1710.2482","29074.849","567.6267","351.4388","4555.1123","758.2125","4724.6432","2811.7928"
"SEN","09/05/2025","23","1542.8565","10.0186","22.2414","1625.5448","29045.6953","453.6625","354.7558","3734.1817","758.8697","4849.1099","2782.1155"
"SEN","09/05/2025","24","1273.066","10.0195","22.4541","1577.0143","28810.3336","452.7828","354.1653","3486.2506","759.2208","4643.4774","2561.9949"
"SEN","10/05/2025","1","1278.5382","1.0928","20.8083","1562.057","28321.5654","270.4851","353.1951","2965.7713","759.6344","4077.6781","2552.8196"
"SEN","10/05/2025","2","1319.3925","0.0051","19.0881","1435.1349","27897.296","253.8396","354.0556","2606.7662","759.9219","3796.3117","2425.9377"
"SEN","10/05/2025","3","1381.5558","0.0054","21.761","1404.3505","27921.0778","323.0936","356.787","1988.3203","760.1481","3625.483","1824.8817"
"SEN","10/05/2025","4","1305.6099","0.0048","22.3652","1406.8024","27989.5951","341.9605","357.0059","1698.2387","760.3938","3322.019","1625.643"
"SEN","10/05/2025","5","1415.8659","0.0048","20.886","1418.8376","27175.6836","303.3491","358.2885","1892.434","760.3826","2903.8158","1592.8721"
"SEN","10/05/2025","6","1593.4909","1.613","19.9207","1423.4863","26792.3546","241.2877","358.807","2024.5517","760.7904","2636.7459","1424.5372"
"SEN","10/05/2025","7","1970.2197","348.9724","20.3191","1414.6941","25507.2405","240.0984","360.4539","1624.231","760.777","2530.475","1399.9699"
"SEN","10/05/2025","8","2152.3539","2782.7942","23.8608","1409.486","23707.2369","232.7768","359.7331","1543.1936","761.1077","2372.3485","1334.0801"
"SEN","10/05/2025","9","2146.304","5171.8948","23.4183","1412.1439","22749.8494","228.3923","358.8566","1469.7504","761.2458","2290.8893","1335.5191"
"SEN","10/05/2025","10","2334.1988","5955.4648","23.2949","1404.8874","23167.6951","235.03","355.5492","1126.7909","761.4398","2237.5349","1365.6633"
"SEN","10/05/2025","11","2596.7118","6354.8702","24.1344","1412.0612","23309.2904","280.795","354.1253","857.4141","761.2508","2228.6889","1460.8974"
"SEN","10/05/2025","12","2991.4875","6694.4367","23.8161","1421.2376","22949.9452","292.0664","355.3504","842.5785","760.8944","2245.5961","1501.7604"
"SEN","10/05/2025","13","3173.0671","6733.2088","23.1245","1423.7797","23223.7536","339.7186","354.1566","899.924","760.3962","2171.43","1521.2255"
"SEN","10/05/2025","14","3313.2323","6548.397","21.564","1424.6319","23534.36","339.862","353.6751","817.0376","759.7634","2139.658","1548.2432"
"SEN","10/05/2025","15","3349.4541","6163.7495","21.908","1434.3132","23580.2552","337.7843","352.8583","805.2087","759.3657","2165.3973","1686.4915"
"SEN","10/05/2025","16","3450.0266","5542.4736","24.3501","1428.5606","24060.2133","336.1481","354.2901","736.7238","759.0233","2156.0004","1711.605"
"SEN","10/05/2025","17","3539.9926","4980.6236","23.5109","1425.0612","24179.7848","340.6393","356.5827","1383.0167","760.7095","2162.4393","1731.5659"
"SEN","10/05/2025","18","3458.4759","4174.0152","24.1612","1415.1126","24249.4626","342.1875","357.9835","2216.1805","762.3082","2167.531","1826.2601"
"SEN","10/05/2025","19","3098.535","2073.8397","24.3179","1411.082","26468.2436","536.929","360.4496","2529.3936","762.6933","2215.3236","1947.9676"
"SEN","10/05/2025","20","2676.1511","317.7889","25.7172","1416.0616","28600.7146","543.3968","359.8125","3301.622","763.3201","2619.8692","1929.6178"
"SEN","10/05/2025","21","2514.9739","21.9605","26.9881","1420.2587","28670.6592","515.7293","360.1281","3575.6842","763.8136","2914.2207","1909.2061"
"SEN","10/05/2025","22","2704.8511","10.0195","20.9726","1422.4051","28910.0909","489.1697","360.7651","2565.4148","764.1804","2934.2741","1893.5847"
"SEN","10/05/2025","23","2774.8368","10.0178","20.6807","1420.3858","28911.1411","346.211","361.1","1838.8596","764.5264","2909.2945","1876.2194"
"SEN","10/05/2025","24","2735.0746","10.0233","20.0209","1419.7454","28629.2273","346.2117","361.3654","1404.8995","764.6469","2351.3586","1845.7322"
"SEN","11/05/2025","1","2664.0086","1.076","19.3886","1415.8112","27760.0676","340.4876","362.5981","1938.1779","764.8186","1775.2945","1530.4107"
"SEN","11/05/2025","2","2452.7973","0.0046","21.3444","1415.2539","26535.6209","301.8875","363.116","2409.9031","765.126","1570.1797","1492.139"
"SEN","11/05/2025","3","2118.8057","0.0048","20.0546","1415.1953","26073.5835","261.8516","363.7062","1940.4154","765.2342","1555.5522","1439.9439"
"SEN","11/05/2025","4","1824.168","0.0042","19.9244","1413.9389","25736.9041","242.7629","363.5305","1721.8118","765.0693","1551.1474","1414.4416"
"SEN","11/05/2025","5","1887.7209","0.0043","21.9869","1408.8691","25303.6077","242.5715","363.2022","1386.4087","764.8199","1545.0942","1407.2534"
"SEN","11/05/2025","6","1976.3043","2.7991","20.7106","1414.185","24526.8627","241.5535","362.7954","1564.1222","764.7442","1548.6164","1401.2519"
"SEN","11/05/2025","7","1967.3601","423.3317","20.0003","1409.8784","23214.1359","235.8482","362.1621","1464.6452","764.7412","1545.4656","1388.3894"
"SEN","11/05/2025","8","1878.3998","3166.2485","20.5347","1380.7034","21275.3483","221.1605","362.174","903.8283","764.8396","1526.5622","1390.891"
"SEN","11/05/2025","9","2041.2958","4943.4597","16.8494","1292.2773","20227.031","134.2198","363.2575","631.9407","764.4646","1529.668","1393.6899"
"SEN","11/05/2025","10","2111.6321","5648.3998","4.5193","1292.1758","20249.6721","124.5986","363.1621","688.099","763.8224","1514.5729","1413.6729"
"SEN","11/05/2025","11","2147.3994","6129.4532","3.5238","1300.6766","20296.7444","131.6002","362.6307","635.2158","762.8626","1509.2998","1447.653"
"SEN","11/05/2025","12","2227.3587","6352.3967","3.615","1300.8837","20768.4014","131.1621","362.1312","616.3699","761.7335","1520.9536","1464.4294"
"SEN","11/05/2025","13","2411.4601","6464.7876","3.6568","1198.8735","21204.7689","130.2875","362.0557","682.998","760.7275","1538.3722","1489.5545"
"SEN","11/05/2025","14","2605.1359","6344.9477","4.8312","1145.4807","21796.463","130.6211","360.117","732.0591","759.8652","1539.8714","1495.3701"
"SEN","11/05/2025","15","2627.9185","6112.2837","13.4953","1247.1493","22297.2926","162.0415","359.3838","923.5301","758.9656","1539.3919","1499.3325"
"SEN","11/05/2025","16","2629.7775","5758.0471","22.1602","1253.7041","23509.4187","228.1118","357.9327","754.6094","758.5138","1550.6897","1482.1936"
"SEN","11/05/2025","17","2556.7363","5323.9179","25.5852","1248.094","24572.6125","336.0486","357.979","768.1421","758.4311","1547.6228","1516.7408"
"SEN","11/05/2025","18","2387.3374","4582.0022","23.829","1245.7312","25601.0496","347.8402","357.5417","1126.5799","758.2123","1803.5199","1541.7837"
"SEN","11/05/2025","19","2221.6806","2159.9929","19.5961","1387.0814","26599.0518","354.043","357.0218","2609.5776","758.0752","1993.3672","1551.8946"
"SEN","11/05/2025","20","2262.8419","207.3481","20.6703","1713.6512","27850.1923","346.1496","359.438","4808.9456","758.2961","2091.0437","1564.7659"
"SEN","11/05/2025","21","2842.0954","18.1302","22.4263","1717.5548","28178.6138","344.2153","362.0831","5035.946","758.8853","2180.4016","1597.1284"
"SEN","11/05/2025","22","3381.8795","10.0175","19.9571","1714.0916","27975.4777","340.7899","361.7624","4505.355","759.2107","2191.3434","1591.3094"
"SEN","11/05/2025","23","3632.5466","10.0169","18.0768","1700.8562","28039.6554","340.4982","362.9496","3357.1835","759.6621","2208.035","1578.118"
"SEN","11/05/2025","24","3568.469","10.0184","15.8073","1309.1968","28118.2982","281.8241","363.6292","2257.7931","760.2444","2013.3258","1533.2811"
"SEN","12/05/2025","1","3702.3845","6.2591","16.7806","1263.3274","27497.462","163.6656","363.9639","1535.8285","760.7077","1620.83","1515.7041"
"SEN","12/05/2025","2","3604.8695","0.1771","18.6576","1264.1913","26080.9364","159.5452","364.0499","1586.2196","761.4124","1561.6465","1415.7576"
"SEN","12/05/2025","3","3135.5749","0","17.4352","1264.5347","25864.2492","159.2755","363.0044","1472.3602","762.156","1574.1983","1391.1846"
"SEN","12/05/2025","4","2887.5316","0","15.2115","1263.7862","25478.843","156.7537","363.4919","1150.9354","762.8089","1687.7413","1371.349"
"SEN","12/05/2025","5","2895.0805","0","11.0765","1266.4483","25378.5283","154.9315","363.5279","985.9667","763.1674","1747.0721","1347.2829"
"SEN","12/05/2025","6","2906.1145","2.9283","7.7039","1264.012","25766.9493","151.9762","363.7786","987.302","763.2067","1785.7233","1360.2353"
"SEN","12/05/2025","7","2801.8188","429.746","9.5639","1282.2719","25827.7162","155.7284","363.4319","1065.5203","763.1832","1789.5328","1391.6061"
