"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: julio 2025"
"Proceso de Liquidacion: Re-Liquidacion Final (L3)"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 05/mar/2026 05:15:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","19/07/2025","18","4643.8837","2981.8672","3.1441","1648.5121","25976.7162","617.8604","290.1832","4061.637","1479.2354","1997.4691","1928.2403"
"SEN","19/07/2025","19","4744.0647","1988.5148","3.1328","1641.9099","26143.0299","621.7296","290.3368","4569.7763","1481.5581","2164.8911","1936.037"
"SEN","19/07/2025","20","4475.7735","501.4423","3.1307","1648.7065","27495.1091","627.3145","290.8883","5551.5595","1482.631","2187.5847","1995.4835"
"SEN","19/07/2025","21","4200.7278","59.7267","3.1301","1645.0665","27935.0005","614.3806","290.974","6122.94","1482.3951","2213.6076","2008.5296"
"SEN","19/07/2025","22","3903.282","20.2305","2.9182","1650.0042","27839.6954","613.195","290.2622","5930.917","1484.326","2259.8071","1978.9573"
"SEN","19/07/2025","23","4093.8483","10.0414","2.9268","1645.4735","26836.7843","620.3173","290.0796","5986.9804","1486.53","1994.7324","1847.784"
"SEN","19/07/2025","24","4185.9908","7.7065","2.9342","1638.055","25853.6254","602.3157","290.9404","5513.7498","1488.4234","1867.739","1829.1813"
"SEN","20/07/2025","1","4239.8931","0.4874","2.9349","1637.2607","24738.8051","560.0342","290.847","5277.9102","1489.8269","1733.2213","1559.2438"
"SEN","20/07/2025","2","4231.9614","0","2.9351","1492.0899","23661.328","482.461","290.7862","5024.6916","1491.4033","1681.9347","1512.695"
"SEN","20/07/2025","3","4208.6452","0.0005","2.9351","1403.1328","22724.6633","428.982","290.7342","4873.3805","1493.0174","1634.7388","1455.5108"
"SEN","20/07/2025","4","4228.1331","0.0047","2.9351","1435.921","21865.4281","427.916","291.1385","4694.0476","1493.9586","1630.033","1383.5737"
"SEN","20/07/2025","5","4209.1567","0.0163","2.9348","1457.6425","21101.4939","424.4507","291.9988","4676.625","1495.5716","1630.45","1334.1743"
"SEN","20/07/2025","6","4577.3622","1.8388","2.9264","1456.3968","20147.8644","344.1257","292.2306","4661.3398","1496.5111","1642.6984","1315.3451"
